fan
id,AUC,pAUC
00,0.5402702702702703,0.4951506530453899
02,0.7298885793871867,0.5496261545227973
04,0.5971839080459771,0.5408348457350272
06,0.7263711911357341,0.5277737279486806
Average,0.6484284872097921,0.5283463453129738

